chr	pos	spec	HepG2	N2a	diff
chr1	1445750	human	-0.60001606	1.8796412	-2.4796572599999998
chr1	1487250	human	-0.6980895	1.4586782	-2.1567677
chr1	1521050	human	-0.5348428	2.477407	-3.0122497999999998
chr1	4933700	human	-0.6358248	1.6511067	-2.2869314999999997
chr1	9970450	human	-0.97129023	1.5528694	-2.52415963
chr1	11050800	human	1.3995447	-0.6246443	2.0241890000000002
chr1	11906250	human	-0.92422354	1.571332	-2.49555554
chr1	12195900	human	-0.6292691	1.583922	-2.2131911
chr1	12764950	human	-0.57944006	2.7909422	-3.37038226
chr1	13299150	human	-1.4131396	0.6049965	-2.0181361
chr1	15584850	human	-1.5570934	0.5029303	-2.0600237000000003
chr1	15681950	human	-0.8907732	1.2433606	-2.1341338
chr1	16001550	human	-0.5750515	2.4481826	-3.0232341
chr1	16136250	human	-1.1048807	0.9000391	-2.0049198
chr1	18363350	human	-1.4737955	0.96348584	-2.43728134
chr1	20531950	human	-0.50405526	2.0188243	-2.52287956
chr1	20712450	human	-0.5267324	2.57564	-3.1023724
chr1	26164850	human	-1.206406	0.8043883	-2.0107943
chr1	26231200	human	-0.72436345	1.3378264	-2.06218985
chr1	28650200	human	-0.50905615	1.6282288	-2.13728495
chr1	37736100	human	-1.4750572	1.046527	-2.5215842
chr1	40477200	human	-1.5622753	1.1778849	-2.7401602
chr1	40677350	human	-0.96038735	1.1106697	-2.0710570500000003
chr1	44132050	human	-1.0389321	1.8045354	-2.8434675
chr1	46314100	human	-1.0680065	1.5102086	-2.5782151
chr1	47994500	human	-0.9751971	1.110747	-2.0859441
chr1	50287200	human	-1.1785078	0.9455701	-2.1240779
chr1	52544050	human	-0.5497415	2.3540325	-2.9037740000000003
chr1	52704150	human	-0.662956	2.1389592	-2.8019152
chr1	53979450	human	-1.6220144	0.54460675	-2.16662115
chr1	54877500	human	-0.53037727	1.6294208	-2.15979807
chr1	62019250	human	-1.0020728	1.0419922	-2.044065
chr1	64099800	human	-0.5792668	1.5711942	-2.150461
chr1	73183400	human	1.2719692	-0.74186695	2.01383615
chr1	81725300	human	-0.566414	1.48872	-2.055134
chr1	98555100	human	-1.2161994	0.96447897	-2.18067837
chr1	107964950	human	-2.4010599	0.5219573	-2.9230172
chr1	114662700	human	-0.96587014	1.626369	-2.59223914
chr1	116026150	human	-1.2425421	1.1816396	-2.4241817
chr1	120000300	human	-0.88241243	1.2857764	-2.16818883
chr1	149350750	human	-0.5591404	1.718408	-2.2775483999999997
chr1	150606950	human	-0.5858151	1.7280822	-2.3138973
chr1	154661950	human	-0.8313458	2.829308	-3.6606538000000004
chr1	162494750	human	-0.60071206	2.002843	-2.6035550599999997
chr1	165471050	human	1.411083	-0.79498076	2.20606376
chr1	169655500	human	1.3913368	-0.759053	2.1503898
chr1	175035300	human	-0.76331866	1.956565	-2.7198836600000003
chr1	195057250	human	-0.9454678	1.0939431	-2.0394109
chr1	210109350	human	-0.59815323	1.7734586	-2.37161183
chr1	211260450	human	-0.82524323	1.1931348	-2.01837803
chr1	211292850	human	-0.68554485	1.5698624	-2.25540725
chr1	212185300	human	-0.89099383	1.2682127	-2.15920653
chr1	212355800	human	-1.1322786	1.1875772	-2.3198558
chr1	220667700	human	-0.57407725	1.50432	-2.07839725
chr1	224079850	human	-0.79913676	1.8431361	-2.64227286
chr1	224216900	human	-0.8247938	1.3074164	-2.1322102
chr1	232363650	human	-0.75826025	1.9665693	-2.72482955
chr1	241782050	human	-0.9213166	1.5414243	-2.4627409
chr1	248945550	human	-0.9578248	1.6841339	-2.6419587
chr10	1675200	human	-1.6120015	0.6196139	-2.2316154
chr10	2322050	human	-0.8433037	1.1608522	-2.0041558999999998
chr10	2506500	human	-0.9575981	1.2301191	-2.1877172
chr10	6183550	human	-0.7678989	1.3284647	-2.0963636
chr10	15366900	human	-0.75991035	1.2567197	-2.01663005
chr10	24745850	human	-0.7966857	1.4567422	-2.2534279
chr10	65609650	human	-0.5668334	1.452729	-2.0195624
chr10	66965300	human	-0.86432993	1.4405613	-2.30489123
chr10	67228350	human	-0.69634664	1.4424548	-2.13880144
chr10	68449650	human	-0.66377175	1.3563681	-2.02013985
chr10	68769650	human	-0.7181561	1.541852	-2.2600081
chr10	69109800	human	-0.7266929	1.5525926	-2.2792855000000003
chr10	69805250	human	-1.5682712	0.5826163	-2.1508875
chr10	72004900	human	-0.7479483	1.2644243	-2.0123726
chr10	72371150	human	-0.59964967	2.2466135	-2.8462631700000003
chr10	72993450	human	-0.66926396	1.678512	-2.34777596
chr10	77519950	human	-1.5555056	0.6058713	-2.1613769
chr10	77520100	human	-1.5442172	0.5293553	-2.0735725
chr10	98850500	human	-0.53151417	1.5704476	-2.10196177
chr10	101633850	human	-0.56871045	1.5976714	-2.16638185
chr10	101981750	human	-0.51829916	1.6816958	-2.1999949599999997
chr10	106725550	human	-1.5169122	0.5634005	-2.0803127
chr10	106739600	human	-0.5669944	1.5047768	-2.0717711999999997
chr10	116794550	human	-0.7790717	1.3964556	-2.1755272999999997
chr10	122101500	human	0.7776308	-2.3289874	3.1066181999999998
chr10	131991100	human	-0.53928804	1.6678247	-2.20711274
chr10	133069600	human	-1.9891174	0.6663896	-2.655507
chr10	133069650	human	-1.9168012	0.50268877	-2.41948997
chr10	133069700	human	-2.0495925	0.5280261	-2.5776186
